CUDA extension not installed.
Starting ...
Ready.
0 self_attn.k_proj
Quantizing ...
time 8.11
error 3473528.25
0 self_attn.v_proj
Quantizing ...
time 2.45
error 1334482.75
0 self_attn.q_proj
Quantizing ...
time 6.03
error 3296121.75
0 self_attn.out_proj
Quantizing ...
time 7.34
error 33020.73828125
0 fc1
Quantizing ...
time 2.54
error 16755115.0
0 fc2
Quantizing ...
time 24.67
error 4560.837890625
1 self_attn.k_proj
Quantizing ...
time 8.77
error 9563304.0
1 self_attn.v_proj
Quantizing ...
time 2.21
error 150949.40625
1 self_attn.q_proj
Quantizing ...
time 4.88
error 3099794.0
1 self_attn.out_proj
Quantizing ...
time 8.64
error 20326.9140625
1 fc1
Quantizing ...
time 2.27
error 6813922.0
1 fc2
Quantizing ...
time 24.82
error 59303.29296875
2 self_attn.k_proj
Quantizing ...
time 8.76
error 2537859.0
2 self_attn.v_proj
Quantizing ...
time 2.21
error 159133.671875
2 self_attn.q_proj
Quantizing ...
time 4.93
error 1606151.5
2 self_attn.out_proj
Quantizing ...
time 8.61
error 39853.328125
2 fc1
Quantizing ...
time 2.28
error 6650639.0
2 fc2
Quantizing ...
time 24.57
error 81957.125
3 self_attn.k_proj
Quantizing ...
time 8.98
error 2563220.25
3 self_attn.v_proj
Quantizing ...
time 2.22
error 123957.2421875
3 self_attn.q_proj
Quantizing ...
time 4.85
error 1480107.625
3 self_attn.out_proj
Quantizing ...
time 8.72
error 31153.35546875
3 fc1
Quantizing ...
time 2.26
error 4224832.5
3 fc2
Quantizing ...
time 24.85
error 1888199.75
4 self_attn.k_proj
Quantizing ...
time 8.76
error 2074850.5
4 self_attn.v_proj
Quantizing ...
time 1.47
error 137071.453125
4 self_attn.q_proj
Quantizing ...
time 1.42
error 1626475.875
4 self_attn.out_proj
Quantizing ...
time 1.45
error 56089.8984375
4 fc1
Quantizing ...
time 1.48
error 6674274.5
4 fc2
Quantizing ...
time 8.02
error 55677.1875
5 self_attn.k_proj
Quantizing ...
time 1.48
error 2534407.25
5 self_attn.v_proj
Quantizing ...
time 6.79
error 178881.796875
5 self_attn.q_proj
Quantizing ...
time 14.10
error 1938398.5
5 self_attn.out_proj
Quantizing ...
time 14.64
error 66628.40625
5 fc1
Quantizing ...
time 9.38
error 5394142.0
5 fc2
Quantizing ...
time 10.87
error 153496.140625
6 self_attn.k_proj
Quantizing ...
time 1.51
error 3004230.0
6 self_attn.v_proj
Quantizing ...
time 1.39
error 271544.6875
6 self_attn.q_proj
Quantizing ...
time 1.40
error 2799486.5
6 self_attn.out_proj
Quantizing ...
time 1.41
error 107186.015625
6 fc1
Quantizing ...
time 1.44
error 8664733.0
6 fc2
Quantizing ...
time 7.29
error 267796.21875
7 self_attn.k_proj
Quantizing ...
time 14.67
error 3715931.5
7 self_attn.v_proj
Quantizing ...
time 14.55
error 396107.875
7 self_attn.q_proj
Quantizing ...
time 14.08
error 3798534.0
7 self_attn.out_proj
Quantizing ...
time 13.83
error 138919.78125
7 fc1
Quantizing ...
time 4.32
error 11437405.0
7 fc2
Quantizing ...
time 7.43
error 178501.75
8 self_attn.k_proj
Quantizing ...
time 1.50
error 4709127.5
8 self_attn.v_proj
Quantizing ...
time 1.41
error 481188.9375
8 self_attn.q_proj
Quantizing ...
time 1.46
error 3936534.0
8 self_attn.out_proj
Quantizing ...
